Count,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
41,lhokseumawe,5.18,97.15,82.02,100,92,5.93
42,lavrentiya,65.58,-170.99,42.15,100,80,10.18
43,port alfred,-33.59,26.89,68.52,90,0,17.67
44,khatanga,71.98,102.47,42.15,85,0,13.65
45,portland,45.52,-122.67,54.14,89,90,3.36
46,provideniya,64.42,-173.23,46.4,87,75,2.24
47,muli,22.62,71.45,76.49,58,0,4.36
48,sabang,13.72,123.58,78.11,100,92,4.92
49,port blair,11.67,92.75,79.5,100,92,19.46
50,pangkalanbuun,-2.68,111.62,74.55,99,32,4.25
51,grand gaube,-20.01,57.66,68.0,82,20,6.93
52,bjornevatn,69.67,29.98,33.1,99,0,23.04
53,smithers,54.78,-127.17,46.4,93,90,2.24
54,kruisfontein,-34.0,24.73,63.53,86,0,13.2
55,port elizabeth,39.31,-74.98,78.33,79,1,6.71
56,kodiak,39.95,-94.76,60.98,100,90,5.82
57,cape town,-33.93,18.42,68.0,72,0,8.05
58,pittsfield,39.61,-90.81,68.74,98,90,5.82
59,liyang,31.42,119.48,65.78,88,32,6.82
60,camacari,-12.7,-38.32,78.8,83,40,9.17
61,vila velha,-3.71,-38.6,80.6,74,0,11.41
62,bluffton,40.74,-85.17,72.95,100,90,11.41
63,gorele,41.03,39.0,62.6,72,0,6.93
64,chicama,-7.84,-79.15,68.0,82,75,8.05
65,naryan-mar,67.67,53.09,36.84,100,68,13.42
66,hobart,-42.88,147.33,55.4,66,0,8.05
67,pevek,69.7,170.27,35.18,100,92,9.28
68,durban,43.54,0.58,53.6,93,76,4.7
69,rocha,-34.48,-54.34,61.19,85,0,9.06
70,krupina,48.35,19.07,50.0,93,12,2.13
71,xuanwu,32.07,118.81,64.4,93,64,6.71
72,bredasdorp,-34.53,20.04,64.4,88,76,10.29
73,saint anthony,43.97,-111.68,56.37,6,40,13.87
74,puerto ayora,-0.74,-90.35,77.0,61,0,14.99
75,ribeira grande,38.52,-28.7,71.27,100,92,16.67
76,east london,-33.02,27.91,69.69,100,36,24.94
77,bekes,46.77,21.13,56.3,71,68,2.24
78,tasiilaq,65.61,-37.64,37.4,51,92,9.17
79,nome,30.04,-94.42,85.39,62,40,11.41
80,talnakh,69.49,88.39,41.7,82,100,15.43
81,avarua,-21.21,-159.78,80.6,74,75,9.17
82,auki,12.18,6.51,71.09,87,0,2.8
83,hobyo,5.35,48.53,76.13,89,12,19.57
84,ismailia,30.6,32.27,64.2,98,0,5.59
85,mar del plata,-46.43,-67.52,48.72,57,24,4.59
86,passo de camaragibe,-9.24,-35.49,73.4,83,0,5.82
87,zhuhai,40.71,112.04,26.6,79,0,2.24
88,cherskiy,68.75,161.3,31.67,90,92,6.15
89,saskylakh,71.97,114.09,37.02,96,32,18.79
90,yellowknife,62.45,-114.38,32.0,100,20,2.24
91,komsomolskiy,67.55,63.78,35.27,95,80,16.33
92,dikson,73.51,80.55,39.9,93,64,42.17
93,cravo norte,6.3,-70.2,78.65,92,76,4.59
94,castro,-42.48,-73.76,49.22,99,92,10.07
95,hilo,19.71,-155.08,70.88,97,90,4.7
96,kapaa,22.08,-159.32,84.02,74,20,13.87
97,upernavik,72.79,-56.15,33.65,100,88,18.68
98,petropavlovskoye,46.79,142.5,48.2,93,75,4.47
99,harper,30.3,-99.24,79.48,66,75,6.93
100,airai,-8.93,125.41,77.03,52,0,2.46
101,san patricio,-26.98,-56.83,74.87,80,92,4.47
102,jacareacanga,-6.22,-57.76,80.36,76,24,2.57
103,dillon,45.22,-112.64,51.08,49,90,4.36
104,nikolskoye,59.7,30.79,35.6,93,0,8.95
105,yumen,40.29,97.04,36.53,41,0,7.94
106,itarema,-2.92,-39.92,78.83,77,0,15.43
107,gelgaudiskis,55.08,22.98,39.0,91,8,7.38
108,georgetown,6.8,-58.16,82.4,78,0,9.17
109,sakaraha,-22.91,44.53,54.08,93,0,2.68
110,hasaki,35.73,140.83,70.65,73,75,10.29
111,qarqin,37.41,66.03,47.06,79,0,11.74
112,fortuna,38.18,-1.13,70.7,52,0,6.93
113,baherden,38.44,57.43,40.85,92,0,5.14
114,pacora,9.1,-79.29,84.2,70,20,6.93
115,misratah,32.38,15.09,71.49,99,12,7.38
116,narasannapeta,18.42,84.04,69.29,97,0,2.57
117,sisimiut,66.94,-53.67,14.84,100,32,4.36
118,sur,22.57,59.53,85.04,86,0,3.36
119,thompson,55.74,-97.86,28.4,79,90,4.7
120,nexo,55.06,15.13,50.0,71,0,10.29
121,atherton,53.52,-2.49,51.17,81,92,5.82
122,constitucion,23.99,-104.67,69.8,49,90,9.17
123,hubli,15.35,75.17,69.92,83,32,2.8
124,velingara,13.64,-16.01,78.8,94,75,6.93
125,khandbari,27.38,87.21,37.52,83,44,0.67
126,codrington,-28.95,153.24,67.22,89,32,3.58
127,tuktoyaktuk,69.44,-133.03,28.4,68,5,17.22
128,arraial do cabo,-22.97,-42.02,70.55,100,92,20.8
129,sobolevo,54.43,31.9,54.75,92,80,12.19
130,ust-ishim,57.69,71.17,42.87,95,92,11.74
131,bima,-8.45,118.73,79.95,83,0,3.24
132,camacha,33.08,-16.33,70.57,83,40,12.75
133,clyde river,70.47,-68.59,24.8,85,90,5.82
134,touros,-5.2,-35.46,77.57,85,48,16.11
135,ponta do sol,-20.63,-46.0,66.86,96,68,4.59
136,hithadhoo,-0.6,73.08,80.99,100,88,14.76
137,busselton,-33.64,115.35,58.49,100,100,10.18
138,opuwo,-18.06,13.84,64.79,49,0,3.24
139,padang,-0.92,100.36,79.91,100,56,4.59
140,hamilton,43.26,-79.87,56.14,100,90,11.41
141,qaanaaq,77.48,-69.36,18.57,100,0,15.43
142,makurdi,7.73,8.54,72.35,100,56,2.8
143,shagonar,51.54,92.92,25.01,93,0,1.57
144,shu,43.6,73.76,43.46,98,92,4.14
145,beloha,-25.17,45.06,69.56,81,12,16.44
146,manicore,-5.81,-61.3,80.72,88,12,1.34
147,guymon,36.68,-101.48,51.37,96,90,13.87
148,ahome,25.92,-109.18,86.0,45,20,14.99
149,puerto colombia,10.99,-74.96,86.0,74,40,3.36
150,puro,13.13,123.76,78.87,95,68,3.13
151,esperance,10.24,-61.45,80.6,88,20,6.93
152,nanortalik,60.14,-45.24,35.45,100,20,19.57
153,batagay-alyta,67.8,130.41,21.09,82,64,3.58
154,hermanus,-34.42,19.24,53.27,92,0,3.8
155,mvuma,-19.28,30.53,52.28,60,0,10.18
156,salalah,17.01,54.1,75.2,38,0,3.36
157,marsala,37.8,12.44,66.92,88,20,4.7
158,kaabong,3.51,34.14,56.96,90,0,2.68
159,ballina,54.11,-9.15,53.6,100,90,14.99
160,umm kaddadah,13.6,26.69,71.72,30,0,7.61
161,itoman,26.12,127.67,72.07,78,20,8.05
162,nabire,-3.36,135.5,75.72,88,44,1.01
163,putina,-14.91,-69.87,48.2,70,90,9.17
164,celestun,20.87,-90.4,80.36,100,48,19.69
165,hirara,24.8,125.28,74.32,94,40,5.82
166,basco,40.33,-91.2,64.76,100,90,11.41
167,tuatapere,-46.13,167.69,48.32,97,24,17.34
168,nokaneng,-19.66,22.19,66.9,20,0,13.09
169,kaitangata,-46.28,169.85,52.01,67,0,15.66
170,bubaque,11.28,-15.83,75.2,94,75,8.05
171,bethel,60.79,-161.76,48.92,96,90,6.93
172,puerto ayacucho,5.66,-67.63,87.8,66,40,5.82
173,hami,42.84,93.51,40.17,49,0,8.5
174,kalmunai,7.42,81.82,71.85,100,56,2.91
175,san cristobal,-0.39,-78.55,55.4,93,75,4.7
176,east wenatchee bench,47.43,-120.28,55.42,63,75,6.93
177,aklavik,68.22,-135.01,32.0,91,20,12.75
178,vila,45.18,8.4,58.14,87,0,2.24
179,sorland,67.67,12.69,47.51,100,92,35.79
180,longyearbyen,78.22,15.63,17.6,85,20,4.7
181,sioux lookout,50.1,-91.92,41.0,80,75,3.36
182,kalawit,7.91,122.53,79.95,95,12,3.69
183,chachoengsao,13.69,101.06,78.8,88,20,4.7
184,sao jose do belmonte,-7.86,-38.76,87.42,30,92,7.83
185,belmonte,40.36,-7.35,48.32,61,0,5.7
186,pimentel,-3.7,-45.5,72.84,98,36,1.12
187,tiarei,-17.53,-149.33,84.2,66,75,6.93
188,ancud,-41.87,-73.83,49.76,96,92,10.96
189,bonavista,48.65,-53.11,44.99,100,32,18.01
190,berlevag,70.86,29.09,37.4,86,75,12.75
191,greytown,-29.06,30.59,47.69,89,32,1.9
192,severo-kurilsk,50.68,156.12,48.72,85,0,11.3
193,chuy,-33.69,-53.46,61.55,90,0,13.2
194,namatanai,-3.66,152.44,83.1,100,80,11.3
195,jacksonville,30.33,-81.66,83.73,74,75,10.29
196,palmer,-34.85,139.16,77.0,68,0,16.11
197,bilma,18.69,12.92,70.32,28,0,3.13
198,pangoa,-12.12,-73.0,70.46,88,12,1.68
199,jiangyin,31.91,120.26,65.78,83,88,8.95
200,butaritari,3.07,172.79,83.78,100,36,7.38
201,hay river,60.82,-115.79,33.8,50,20,10.29
202,nanakuli,21.39,-158.15,84.2,84,75,9.17
203,grojec,50.09,19.57,54.28,76,75,4.7
204,zhezkazgan,47.8,67.71,27.84,74,0,5.7
205,kavieng,-2.57,150.8,83.1,100,64,3.58
206,geraldton,49.72,-86.95,41.0,56,75,5.82
207,hornepayne,49.22,-84.78,33.24,85,0,3.69
208,weyburn,49.67,-103.85,41.48,76,76,7.16
209,katsuura,33.93,134.5,69.48,78,75,8.05
210,luderitz,-26.65,15.16,66.95,65,24,10.74
211,moron,10.49,-68.2,87.8,55,75,2.68
212,nargana,9.44,-78.59,82.07,100,0,7.38
213,candolim,15.52,73.76,77.07,100,8,2.35
214,raisen,23.33,77.78,66.32,77,0,2.68
215,seoul,37.57,126.98,47.66,66,0,4.7
216,butembo,0.12,29.29,57.54,96,20,1.68
217,praia da vitoria,38.73,-27.07,69.8,94,20,15.99
218,pryozerne,49.42,24.47,45.48,87,0,1.34
219,dingle,11.0,122.67,82.25,77,12,8.39
220,gidole,5.65,37.37,63.12,95,68,2.35
221,marzuq,14.4,46.47,51.24,42,0,1.79
222,egvekinot,66.32,-179.17,36.12,97,92,3.24
223,ostrovnoy,68.05,39.51,24.2,86,0,11.74
224,melilla,-0.8,-80.23,75.2,83,75,9.17
225,constantine,36.36,6.61,59.0,82,0,4.7
226,klaksvik,62.23,-6.59,44.6,75,92,16.11
227,buchanan,5.88,-10.05,78.8,94,75,4.7
228,makakilo city,21.35,-158.09,84.2,57,20,5.82
229,pundaguitan,6.37,126.17,81.39,100,48,2.57
230,lompoc,34.64,-120.46,73.87,67,1,18.34
231,ifanadiana,-21.3,47.64,62.4,98,100,3.36
232,pangnirtung,66.15,-65.72,22.22,100,68,3.58
233,baillif,16.02,-61.75,75.2,94,68,4.7
234,guerrero negro,27.97,-114.04,69.38,80,24,10.51
235,saint-paul,45.22,1.9,43.92,100,90,2.24
236,grand falls,47.05,-67.74,43.68,65,90,6.93
237,aguadilla,18.43,-67.15,80.6,100,40,5.82
238,walvis bay,-22.95,14.51,55.4,93,0,8.05
239,norman wells,65.28,-126.83,33.8,59,40,23.04
240,saint-philippe,45.36,-73.48,46.33,82,90,4.7
241,victoria,5.28,115.24,78.55,83,75,1.12
242,port hedland,-20.31,118.58,69.8,88,0,8.05
243,richards bay,-28.77,32.06,58.76,100,12,5.37
244,daru,7.99,-10.85,72.57,98,80,3.8
245,ixtapa,20.71,-105.21,86.0,70,75,11.41
246,samarai,-10.62,150.67,77.7,100,0,12.97
247,adrar,27.87,-0.29,80.6,21,0,4.7
248,progreso,-34.68,-56.22,65.26,63,0,10.29
249,leningradskiy,69.38,178.42,36.39,97,56,8.39
250,acapulco,16.86,-99.88,86.0,74,40,9.17
251,hearst,49.69,-83.67,32.66,86,0,2.35
252,port lincoln,-34.72,135.86,59.79,93,76,14.65
253,saint-louis,47.59,7.56,55.09,87,75,10.29
254,san quintin,17.54,120.52,75.2,94,20,4.7
255,ewo,-0.88,14.81,72.89,93,32,5.59
256,raton,36.9,-104.44,70.65,48,1,26.4
257,sharjah,25.36,55.39,81.59,70,0,6.93
258,rock sound,24.9,-76.2,82.97,100,88,23.15
259,saint-augustin,44.83,-0.61,54.59,100,0,5.82
260,grindavik,63.84,-22.43,35.6,93,20,6.93
261,saint george,39.45,22.34,57.2,87,20,4.7
262,akcakoca,41.09,31.12,44.36,84,0,1.34
263,ljungby,56.83,13.94,39.2,93,76,6.93
264,crato,-7.24,-39.41,79.73,40,76,6.6
265,huarmey,-10.07,-78.15,64.25,69,32,3.02
266,sakaiminato,35.55,133.23,62.6,93,75,2.24
267,caravelas,-17.73,-39.27,77.79,99,12,15.21
268,nicoya,10.15,-85.45,82.4,78,20,10.29
269,yagodnoye,62.52,149.63,23.93,91,80,3.02
270,cabo san lucas,22.89,-109.91,87.35,65,5,19.46
271,pagudpud,18.56,120.79,75.2,94,20,4.7
272,semme,46.2,1.5,53.6,81,75,9.17
273,bulbucata,44.28,25.82,50.0,81,0,3.24
274,najran,17.54,44.22,71.6,41,0,1.34
275,pasighat,28.06,95.33,61.5,98,80,1.57
276,belaya gora,68.54,146.19,21.99,98,76,6.15
277,amuntai,-2.42,115.25,76.4,94,48,2.57
278,rafsanjan,30.4,55.99,52.05,70,76,4.59
279,fairbanks,64.84,-147.72,39.78,18,40,4.7
280,garissa,-0.46,39.64,73.29,77,0,11.41
281,manika,23.82,84.4,65.15,78,0,3.13
282,bud,62.91,6.91,48.16,57,75,11.41
283,amiens,49.89,2.3,44.53,87,0,8.05
284,flin flon,54.77,-101.88,28.4,86,90,9.17
285,mount isa,-20.73,139.49,78.8,24,0,4.7
286,bonfim,-20.33,-44.24,64.79,95,88,6.93
287,mount gambier,-37.83,140.78,67.13,73,32,4.81
288,florianopolis,-27.6,-48.55,66.2,93,75,4.7
289,diglur,18.55,77.6,71.67,80,0,4.25
290,kungurtug,50.6,97.53,10.79,64,0,1.57
291,talaya,55.79,84.89,45.26,76,12,12.08
292,surin,14.88,103.49,75.2,94,36,4.7
293,paveh,35.05,46.36,51.11,80,64,2.35
294,edd,13.93,41.69,64.65,49,0,0.67
295,bambous virieux,-20.34,57.76,68.0,82,20,6.93
296,ahuimanu,21.44,-157.84,84.22,76,40,8.05
297,raudeberg,61.99,5.14,47.61,81,88,31.09
298,inirida,3.87,-67.92,77.21,93,32,2.13
299,tautira,-17.73,-149.15,84.2,66,75,6.93
300,bakchar,57.02,82.07,44.0,98,88,7.05
301,neuquen,-38.95,-68.06,73.4,18,0,11.41
302,zbiroh,49.86,13.77,51.17,81,90,5.82
303,yerofey pavlovich,53.97,121.97,33.65,77,20,7.72
304,yulara,-25.24,130.99,73.4,56,90,5.82
305,isangel,-19.55,169.27,74.82,100,56,12.64
306,halifax,44.65,-63.58,50.0,93,90,8.05
307,puerto princesa,9.74,118.73,77.0,94,20,5.82
308,ponta delgada,37.73,-25.67,69.8,73,20,6.93
309,mwene-ditu,-7.01,23.45,65.78,93,24,2.91
310,broome,52.47,1.45,46.51,76,0,8.05
311,houston,29.76,-95.37,85.59,55,20,5.82
312,piopio,-42.79,-73.57,46.4,100,92,3.36
313,soe,57.91,26.05,39.2,93,75,6.93
314,falam,22.91,93.68,61.77,98,56,2.24
315,ilulissat,69.22,-51.1,30.2,63,20,11.41
316,cidreira,-30.17,-50.22,67.13,86,68,11.74
317,pozoblanco,38.38,-4.85,64.4,55,0,2.24
318,andros town,24.73,-77.79,82.4,74,75,14.99
319,maroantsetra,-15.43,49.74,67.89,100,24,0.89
320,shumskiy,54.83,99.13,21.72,87,0,2.24
321,biscarrosse,44.41,-1.18,54.41,100,90,11.41
322,kurush,41.28,47.83,33.38,93,20,3.58
323,morondava,-20.3,44.28,66.99,100,0,3.58
324,cabedelo,-6.97,-34.84,77.0,78,0,11.41
325,ribita,46.18,22.77,41.21,89,0,1.79
326,snyder,32.72,-100.92,67.12,94,75,17.22
327,huilong,28.89,110.18,58.85,95,92,2.68
328,lorengau,-2.02,147.27,83.69,100,32,6.93
329,kieta,-6.22,155.63,82.88,97,20,3.8
330,bulgan,48.81,103.53,15.02,62,0,2.68
331,xining,36.62,101.77,33.87,96,92,3.58
332,alenquer,-1.95,-54.74,84.2,74,20,5.82
333,cap malheureux,-19.98,57.61,68.0,82,20,6.93
334,north bend,43.41,-124.22,58.53,74,90,6.93
335,muros,42.77,-9.06,48.2,70,0,5.82
336,biak,-0.91,122.88,78.56,100,36,3.69
337,namibe,-15.19,12.15,68.79,100,12,12.08
338,shenjiamen,29.96,122.3,73.52,89,0,13.2
339,vardo,39.62,-77.74,82.63,55,1,3.36
340,la candelaria,9.69,-63.4,79.73,79,20,7.83
341,mugur-aksy,50.38,90.44,12.68,61,0,2.57
342,teya,21.05,-89.07,84.2,74,40,11.41
343,hofn,64.25,-15.21,41.75,100,0,20.24
344,koupela,12.18,-0.35,77.21,88,32,2.68
345,conde,-11.81,-37.61,75.14,91,92,7.38
346,puerto escondido,15.86,-97.07,82.4,74,90,5.82
347,berzasca,44.65,21.95,47.15,95,8,1.9
348,dzaoudzi,-12.79,45.27,77.0,78,0,8.05
349,zhangye,38.94,100.46,35.0,43,0,7.61
350,mahebourg,-20.41,57.7,68.0,82,20,6.93
351,pierre,44.37,-100.35,39.92,92,90,10.29
352,vangaindrano,-23.35,47.6,64.02,100,92,3.24
353,sao joao da barra,-21.64,-41.05,73.4,83,90,4.7
354,havre-saint-pierre,50.23,-63.6,37.4,74,20,11.41
355,gujranwala,32.15,74.19,69.8,83,0,5.82
356,labuhan,-2.54,115.51,77.03,86,24,2.68
357,wanxian,30.8,108.39,54.84,97,92,2.8
358,seoni,22.09,79.55,71.67,68,12,2.35
359,puerto quijarro,-19.0,-57.72,88.68,59,0,9.17
360,roald,62.58,6.12,49.28,57,100,18.34
361,inhambane,-23.87,35.38,68.07,100,0,10.96
362,sitrah,26.15,50.62,86.81,66,0,3.36
363,mamallapuram,12.63,80.17,80.6,83,40,3.36
364,sao miguel do araguaia,-13.28,-50.16,76.31,95,12,4.14
365,san julian,13.7,-89.56,73.49,100,40,4.7
366,zhigansk,66.77,123.37,31.22,97,20,4.03
367,saint-georges,46.12,-70.67,41.12,84,0,4.36
368,moranbah,-22.0,148.04,80.54,50,0,9.4
369,ucluelet,48.94,-125.55,53.6,93,90,6.93
370,olga,34.11,-118.17,74.59,43,40,14.99
371,pangody,65.85,74.49,36.84,87,88,15.21
372,kununurra,-15.77,128.74,78.8,78,75,3.36
373,hays,38.88,-99.33,49.62,93,90,11.41
374,libreville,0.39,9.45,76.04,100,92,5.37
375,zhanaozen,43.35,52.85,39.72,55,0,9.73
376,dalbandin,28.9,64.41,54.71,50,0,2.91
377,redmond,47.67,-122.12,54.79,93,75,9.17
378,te anau,-45.41,167.72,45.57,79,12,6.71
379,kindu,-2.95,25.92,69.24,100,88,2.57
380,sydney,-33.85,151.22,65.57,82,75,19.46
381,kingsville,39.45,-76.42,79.95,82,0,5.03
382,ketou,7.36,2.6,76.8,91,48,6.71
383,gilgit,35.92,74.31,31.76,40,0,0.34
384,haines junction,60.75,-137.51,34.95,71,68,2.68
385,northam,51.04,-4.21,52.36,87,0,6.93
386,verkhoyansk,67.55,133.39,24.83,91,88,3.91
387,aswan,24.09,32.9,75.9,45,0,8.95
388,florence,34.8,-87.68,85.86,48,20,9.17
389,ahipara,-35.17,173.16,62.0,72,0,8.39
390,nemuro,43.32,145.57,55.02,100,80,11.74
391,sale,53.42,-2.32,51.21,81,92,5.82
392,plouzane,48.38,-4.62,45.52,87,0,2.24
393,clovis,36.83,-119.7,78.01,32,20,5.82
394,fort nelson,58.81,-122.69,26.6,86,90,8.05
395,vilyuysk,63.75,121.63,33.42,88,92,4.36
396,tacna,-18.01,-70.25,67.17,72,0,11.41
397,pulwama,33.88,74.9,31.85,69,0,1.68
398,debre tabor,11.86,38.01,54.3,84,12,4.36
399,iqaluit,63.75,-68.52,30.2,74,90,13.87
400,springdale,36.19,-94.13,77.22,88,20,8.05
401,axim,4.87,-2.24,78.6,100,64,9.06
402,karaton,-6.34,106.1,77.0,78,20,4.7
403,vila praia de ancora,41.81,-8.85,54.66,62,0,1.12
404,helena,46.59,-112.04,55.04,7,75,6.93
405,mvomero,-6.3,37.45,67.04,87,68,3.13
406,limon,39.26,-103.69,44.96,100,90,9.17
407,jan kempdorp,-27.92,24.84,58.58,36,0,6.71
408,lazaro cardenas,28.39,-105.62,86.0,27,40,16.11
409,dakar,14.69,-17.45,78.8,83,40,20.8
410,okhotsk,59.36,143.24,36.35,100,80,5.03
411,palu,-0.9,119.87,66.27,97,56,1.34
412,dali,25.6,100.24,49.04,100,24,2.01
413,gorontalo,0.54,123.06,78.69,89,36,1.9
414,port augusta,-32.49,137.76,73.4,28,92,9.17
415,tam ky,15.57,108.48,73.4,94,20,5.37
416,garowe,8.41,48.48,82.74,36,92,1.68
417,jimenez,8.54,-82.37,84.2,74,20,9.17
418,sola,62.78,29.36,30.2,92,0,2.24
419,umm lajj,25.02,37.27,75.27,100,0,2.91
420,vaitape,-16.52,-151.75,78.74,100,92,8.28
421,tarare,45.89,4.44,56.3,82,90,4.7
422,lata,30.78,78.62,40.67,87,0,2.35
423,sokoto,13.06,5.24,75.77,77,20,2.91
424,coatzacoalcos,18.14,-94.45,86.0,66,40,11.41
425,college,64.86,-147.8,39.78,18,40,4.7
426,warri,5.52,5.75,75.09,96,20,6.71
427,mnogovershinnyy,53.94,139.92,41.79,98,92,6.04
428,manokwari,-0.87,134.08,82.43,100,20,0.45
429,iralaya,15.0,-83.23,81.57,88,20,10.74
430,changping,40.22,116.23,39.2,86,0,2.24
431,ornskoldsvik,63.29,18.72,25.79,85,24,2.24
432,souillac,45.6,-0.6,54.41,93,0,9.17
433,butte,46.01,-112.54,48.02,10,90,13.87
434,solnechnyy,50.72,136.64,45.62,100,92,2.35
435,trelew,-43.25,-65.31,67.13,31,92,12.41
436,kirakira,-10.46,161.92,80.72,100,44,10.18
437,villamontes,-21.26,-63.47,77.34,62,80,3.36
438,uyuni,-20.46,-66.82,50.12,24,0,16.78
439,sandwick,54.57,-2.89,51.8,87,92,27.51
440,buraydah,26.33,43.97,78.8,31,0,3.69
441,bambanglipuro,-7.95,110.28,75.0,87,92,3.58
442,ampanihy,-24.69,44.75,66.09,87,0,10.96
443,ipixuna,-1.76,-48.8,77.0,83,0,5.82
444,kon tum,14.36,108.0,64.29,92,24,2.8
445,algiers,29.94,-90.04,84.34,87,75,6.93
446,honningsvag,70.98,25.97,37.4,86,75,12.75
447,uvinza,-5.1,30.39,76.04,47,88,3.36
448,baijiantan,45.63,85.18,46.88,73,0,5.7
449,sanming,26.24,117.6,62.99,81,0,2.68
450,ruangwa,-10.07,38.93,65.82,72,0,3.13
451,anadyr,64.73,177.51,46.4,87,75,8.95
452,murfreesboro,35.85,-86.39,84.24,55,1,5.82
453,russell,-33.01,-68.8,86.0,37,0,6.93
454,oranjestad,12.52,-70.03,84.2,79,20,16.11
455,maicao,11.38,-72.24,79.5,93,8,4.92
456,aksarka,66.56,67.8,34.05,95,36,12.64
457,la rioja,-29.41,-66.86,72.17,50,0,2.01
458,kupang,-10.16,123.6,75.2,69,20,1.12
459,port moresby,-9.47,147.16,78.8,57,0,3.36
460,coquimbo,-29.95,-71.34,55.4,76,0,6.93
461,srednekolymsk,67.46,153.71,29.87,91,88,3.24
462,shiraoi,42.56,141.33,51.8,100,20,2.24
463,rongcheng,37.16,122.42,61.73,92,0,4.03
464,imbituba,-28.24,-48.67,66.2,93,75,4.7
465,tacuarembo,-31.73,-55.98,69.47,81,68,8.61
466,cururupu,-1.82,-44.87,79.37,80,20,7.83
467,sibolga,1.74,98.78,68.84,100,80,2.46
468,tokat,40.33,36.55,50.0,34,0,10.29
469,sasina,49.51,16.58,57.16,82,40,5.82
470,koygorodok,60.44,51.01,38.96,97,92,3.91
471,mugla,41.62,24.49,46.4,100,0,4.7
472,berberati,4.26,15.79,68.7,97,68,5.37
473,lagoa,37.14,-8.45,66.2,37,0,6.93
474,ocos,14.51,-92.19,77.0,94,90,4.7
475,qeshm,26.96,56.27,77.81,78,0,6.93
476,pirovskoye,57.63,92.27,39.5,69,0,6.82
477,kasama,-10.21,31.19,71.45,43,44,11.52
478,omsukchan,62.53,155.8,25.55,74,88,6.38
479,karlstad,59.38,13.5,39.2,93,76,5.82
480,cabatuan,16.95,121.67,74.15,100,56,1.12
481,corpus christi,27.8,-97.4,86.32,72,75,17.22
482,oistins,13.07,-59.53,78.8,88,40,13.87
483,pouembout,-21.12,164.9,80.81,50,0,4.14
484,tabou,4.42,-7.36,79.5,100,88,10.63
485,maceio,-9.67,-35.74,73.4,83,0,5.82
486,kijang,35.24,129.21,57.2,62,0,8.05
487,nishihara,35.74,139.53,70.02,78,75,13.87
488,bela,26.23,66.31,62.67,55,0,3.02
489,tutoia,-2.76,-42.27,82.4,58,0,20.8
490,maldonado,-34.91,-54.96,68.0,77,0,10.29
491,victor harbor,-35.55,138.62,77.0,64,0,16.11
492,havoysund,71.0,24.66,37.4,86,75,24.16
493,funza,4.72,-74.21,60.8,77,75,5.82
494,blagodarnyy,45.1,43.44,53.9,92,56,10.07
495,atar,20.52,-13.05,80.72,28,0,6.15
496,west wendover,40.74,-114.07,60.98,5,40,13.87
497,tyukhtet,56.54,89.31,37.52,84,0,3.58
498,sarkand,45.41,79.91,44.85,77,76,5.03
499,kysyl-syr,63.9,122.77,33.24,93,88,5.03
500,tynda,55.15,124.74,33.92,85,92,6.38
